Name,Year,Price,Currency,Link
Land Rover Freelander,2008,8 950,EURO,https://999.md/ro/87450472
Tesla Model 3,2018,25 950,EURO,https://999.md/ro/87920785
Volkswagen Phaeton,2012,16 450,EURO,https://999.md/ro/87847635
Skoda Fabia,2011,4 650,EURO,https://999.md/ro/88482317
Mazda 323,1998,1 500,EURO,https://999.md/ro/88617952
Volkswagen Sharan,No year,Negociabil,Unknown,https://999.md/ro/84122189
Honda Civic,No year,Negociabil,Unknown,https://999.md/ro/86239836
Mitsubishi Pajero,No year,Negociabil,Unknown,https://999.md/ro/83459544
Toyota Land Cruiser Prado,No year,Negociabil,Unknown,https://999.md/ro/83665523
Skoda Superb,No year,Negociabil,Unknown,https://999.md/ro/83665595
Renault Talisman,2018,13 100,EURO,https://999.md/ro/88505100
Dodge Ram,2014,23 000,EURO,https://999.md/ro/87359092
Peugeot 3008,2019,16 490,EURO,https://999.md/ro/87751762
Mercedes Vito,2016,17 999,EURO,https://999.md/ro/88555405
Toyota C-HR,2019,16 999,EURO,https://999.md/ro/84533519
BMW 5 Series,2010,13 499,EURO,https://999.md/ro/88287050
Audi Q5,No year,53 500,EURO,https://999.md/booster/link?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3Mjg2NDYzMjAsIkMiOnsiciI6MSwiYiI6MjAwLCJjIjo2NTgsInoiOjY1OSwiYSI6Ijg3MzM3MzAyIiwiaSI6IjE4NS4zMi4zLjE5MCIsInMiOiJkZXNrdG9wIiwicCI6ImFkc19saXN0X2lubGluZSIsIngiOiIiLCJsIjoiZGVkNDA2MzEtNTU0ZS00NGE1LWI2ZjAtYmJkMDU3NmFhMmYyIiwiZSI6IjE4NS4zMi4zLjE5MCIsImciOiJ0dXJibyIsInQiOiIyMDI0LTEwLTExVDEwOjMyOjAwLjk1ODgwODc3NloifX0.ivfCHGS_NdkmvqOBVAH--D4BmIBjFGBde0Fs2WZdAPs
Altă marcă Alt model,2019,Negociabil1 500 km,Unknown,https://999.md/ro/83104320
Renault Kadjar,2021,16 950,EURO,https://999.md/ro/86688879
No name,No year,No price,Unknown,No link
BMW 3 Series,2013,16 999,EURO,https://999.md/ro/88485367
Renault Talisman,2016,11 499,EURO,https://999.md/ro/87344234
Chevrolet Trax,2017,9 200,EURO,https://999.md/ro/88467694
Renault Megane,2005,Negociabil200 km,Unknown,https://999.md/ro/88617942
Hyundai Sonata,2014,8 800,EURO,https://999.md/ro/86163680
Renault Megane,2004,3 100,EURO,https://999.md/ro/88617937
Renault Megane,2007,3 000,EURO,https://999.md/ro/88610366
Skoda Octavia,2013,10 000,EURO,https://999.md/ro/87037886
Audi A6,2015,16 900,EURO,https://999.md/ro/88468543
Toyota C-HR,2020,17 990,EURO,https://999.md/ro/87483897
Renault Talisman,2018,14 990,EURO,https://999.md/ro/88305394
KIA Optima,2013,13 490,EURO,https://999.md/ro/88085381
Toyota Auris,2012,7 100,EURO,https://999.md/ro/88577846
Hyundai Tucson,2021,27 490,EURO,https://999.md/ro/88222040
Altă marcă Alt model,2019,Negociabil1 500 km,Unknown,https://999.md/ro/87381906
Skoda Octavia,2017,10 800,EURO,https://999.md/ro/87459243
Mitsubishi Outlander,2013,14 199,EURO,https://999.md/ro/79815104
Ford Fusion,2020,17 000,EURO,https://999.md/ro/88535752
Ford Kuga,2021,19 390,EURO,https://999.md/ro/88204076
Ford Kuga,2017,14 990,EURO,https://999.md/ro/88248238
Dacia Duster,2017,10 499,EURO,https://999.md/ro/88559888
Mercedes E-Class,2019,30 490,EURO,https://999.md/ro/88084214
Volkswagen Golf,2015,12 000,EURO,https://999.md/ro/27171405
BMW X1,2021,18 990,EURO,https://999.md/ro/88303922
Ford Focus,2016,9 350,EURO,https://999.md/ro/87293329
Volvo XC40,2021,23 490,EURO,https://999.md/ro/88128764
Volvo XC60,2018,28 490,EURO,https://999.md/ro/88355205
Renault Kadjar,2016,13 500,EURO,https://999.md/ro/88489816
Volvo XC40,2021,22 490,EURO,https://999.md/ro/87757477
Volvo XC40,2021,23 990,EURO,https://999.md/ro/87955200
BMW 5 Series,No year,Negociabil,Unknown,https://999.md/ro/75097499
Renault Scenic,2017,11 450,EURO,https://999.md/ro/83155155
Volvo XC60,2020,31 990,EURO,https://999.md/ro/87724423
BMW 5 Series,2018,31 490,EURO,https://999.md/ro/88151563
Nissan Qashqai,2020,15 990,EURO,https://999.md/ro/88326604
BMW 5 Series,No year,2 000,EURO,https://999.md/ro/80341751
Toyota Auris,2015,13 790,EURO,https://999.md/ro/88073874
No name,No year,No price,Unknown,No link
Honda CR-V,2016,17 990,EURO,https://999.md/ro/87679162
Peugeot 3008,2018,15 990,EURO,https://999.md/ro/88236452
Peugeot 5008,2020,15 990,EURO,https://999.md/ro/88105314
Honda Accord,2017,15 200,EURO,https://999.md/ro/66923139
BMW 3 Series,2014,15 300,EURO,https://999.md/ro/87980599
BMW X1,2020,18 990,EURO,https://999.md/ro/88130524
Tesla Model Y,2021,30 000,EURO,https://999.md/ro/87521071
BMW 2 Series,2021,15 990,EURO,https://999.md/ro/87945016
BMW X1,2021,21 990,EURO,https://999.md/ro/88083597
Volkswagen Caddy,2020,10 990,EURO,https://999.md/ro/88258820
Changan CS55PLUS,2024,18 800,EURO,https://999.md/ro/87338479
Renault Scenic,2006,Negociabil330 000 km,Unknown,https://999.md/ro/88540660
Peugeot 3008,2019,15 490,EURO,https://999.md/ro/88222074
BMW 3 Series,2016,15 000,EURO,https://999.md/ro/85310956
BMW 5 Series,2019,25 990,EURO,https://999.md/ro/88074239
Dacia Duster,2020,15 490,EURO,https://999.md/ro/88176065
