Name,Year,Price_EUR,Currency,Link
Mitsubishi Lancer,2007,4200.0,EURO,https://999.md/ro/88083370
Peugeot 3008,2019,13990.0,EURO,https://999.md/ro/86269644
Ford Fusion,2011,4900.0,EURO,https://999.md/ro/88074024
Peugeot 3008,2018,13990.0,EURO,https://999.md/ro/86421417
Peugeot 3008,2018,14950.0,EURO,https://999.md/ro/86421934
BMW X5,2007,15300.0,EURO,https://999.md/ro/88282112
Toyota Prius,2007,5500.0,EURO,https://999.md/ro/88402753
Toyota Prius,2009,5500.0,EURO,https://999.md/ro/88442886
Peugeot 3008,2019,15990.0,EURO,https://999.md/ro/86912485
Peugeot 3008,2021,17790.0,EURO,https://999.md/ro/86690317
Peugeot 3008,2018,14990.0,EURO,https://999.md/ro/86102238
Opel Grandland X,2021,15990.0,EURO,https://999.md/ro/87127036
Ford Fiesta,2014,5200.0,EURO,https://999.md/ro/88394451
Nissan Qashqai,2011,7500.0,EURO,https://999.md/ro/88354691
Mercedes A-Class,2007,4900.0,EURO,https://999.md/ro/88035365
Citroen C5 Aircross,2020,16450.0,EURO,https://999.md/ro/87623585
Citroen C5 Aircross,2020,18250.0,EURO,https://999.md/ro/88063331
Citroen C5 Aircross,2020,16850.0,EURO,https://999.md/ro/87344064
Citroen C5 Aircross,2020,16950.0,EURO,https://999.md/ro/87497586
Ford Fiesta,2019,8880.0,EURO,https://999.md/ro/88618159
Peugeot 3008,2018,12190.0,EURO,https://999.md/ro/86732140
Toyota Verso-S,2013,7650.0,EURO,https://999.md/ro/88593129
Toyota Prius v,2012,10999.0,EURO,https://999.md/ro/88618208
Toyota Corolla,2019,16300.0,EURO,https://999.md/ro/88432203
BMW 5 Series,2011,18999.0,EURO,https://999.md/ro/84694390
BMW X5,2003,10799.0,EURO,https://999.md/ro/88618198
Ford Focus,2019,11350.0,EURO,https://999.md/ro/86802470
Renault Kadjar,2020,15350.0,EURO,https://999.md/ro/88070229
Renault Kadjar,2018,13450.0,EURO,https://999.md/ro/88607776
Lexus UX,2020,19990.0,EURO,https://999.md/ro/88550023
Volkswagen Golf,2012,4000.0,EURO,https://999.md/ro/54015930
Land Rover Range Rover Evoque,2014,10000.0,EURO,https://999.md/ro/54016866
Toyota Auris,2017,3600.0,EURO,https://999.md/ro/54032114
Renault Grand Scenic,2007,1500.0,EURO,https://999.md/ro/54032053
Jeep Renegade,2019,16800.0,EURO,https://999.md/ro/87308421
Opel Astra,2019,13000.0,EURO,https://999.md/ro/87988762
Land Rover Range Rover Evoque,2016,19500.0,EURO,https://999.md/ro/87679932
Nissan Qashqai,2020,15850.0,EURO,https://999.md/ro/87930005
Skoda Rapid,2017,6950.0,EURO,https://999.md/ro/88011970
Renault Kadjar,2019,14650.0,EURO,https://999.md/ro/86345304
Ford Focus,2016,7950.0,EURO,https://999.md/ro/88007454
Renault Kadjar,2019,14490.0,EURO,https://999.md/ro/52517668
Lincoln MKZ,2019,17999.0,EURO,https://999.md/ro/88600820
BMW 5 Series,No year,1650.0,EURO,https://999.md/ro/73227851
Nissan Qashqai,2017,15650.0,EURO,https://999.md/ro/87017876
Nissan Qashqai,2020,14250.0,EURO,https://999.md/ro/88073164
Nissan Qashqai,2019,15390.0,EURO,https://999.md/ro/86729566
Renault Kadjar,2018,15750.0,EURO,https://999.md/ro/88150763
Renault Megane,2018,10600.0,EURO,https://999.md/ro/88535666
Peugeot 3008,2019,15990.0,EURO,https://999.md/ro/87422740
Lexus HS Series,2009,10000.0,EURO,https://999.md/ro/88601421
Hyundai Santa FE,2007,7900.0,EURO,https://999.md/ro/88014886
BMW 5 Series,2014,16700.0,EURO,https://999.md/ro/88017337
Skoda Rapid,2017,9800.0,EURO,https://999.md/ro/88588810
Renault Megane,2010,5950.0,EURO,https://999.md/ro/88571668
Skoda Octavia,2006,4400.0,EURO,https://999.md/ro/88618178
Opel Astra,2011,5900.0,EURO,https://999.md/ro/86745128
Toyota Auris,2009,6599.0,EURO,https://999.md/ro/87889646
